product_name,sub_category,revenue,profit
Canon imageCLASS 2200 Advanced Copier,Copiers,14077.0,25200.0
Hewlett Packard LaserJet 3310 Copier,Copiers,13838.0,6408.0
"3D Systems Cube Printer, 2nd Generation, Magenta",Machines,14335.0,3718.0
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",Machines,4750.0,2800.0
GBC DocuBind TL300 Electric Binding System,Binders,12890.0,2754.0
Ativa V4110MDD Micro-Cut Shredder,Machines,4900.0,2401.0
Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Appliances,7276.0,2396.0
Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Accessories,7665.0,2062.0
Canon PC1060 Personal Laser Copier,Copiers,5600.0,1890.0
Logitech Z-906 Speaker sys - home theater - 5.1-CH,Accessories,4658.0,1848.0
