product_name,sub_category,revenue,profit,avg_margin_pct
Cubify CubeX 3D Printer Double Head Print,Machines,9324.0,-6240.0,-0.7
Cubify CubeX 3D Printer Triple Head Print,Machines,3010.0,-3840.0,-1.3
Lexmark MX611dhe Monochrome Laser Printer,Machines,5677.0,-2720.0,-0.5
Bush Advantage Collection Racetrack Conference Table,Tables,4334.0,-2019.0,-0.4
Ibico EPK-21 Electric Binding System,Binders,6438.0,-1285.0,-0.6
Martin Yale Chadless Opener Electric Letter Opener,Supplies,12269.0,-1233.0,-0.1
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Tables,1053.0,-987.0,-1.1
Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,Tables,3870.0,-964.0,-0.3
Zebra GK420t Direct Thermal/Thermal Transfer Printer,Machines,704.0,-938.0,-1.3
Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,Machines,693.0,-936.0,-1.4
